,Algorithm,Dataset,alpha,Coverage,Length
172,cox_ph_alg_2,metabric,0.7,0.8919791666666667,
173,cox_ph_alg_2,metabric,0.7,0.9461458333333335,
174,cox_ph_alg_2,metabric,0.7,0.9323958333333332,
175,cox_ph_alg_2,metabric,0.7,0.9481250000000001,
176,cox_ph_alg_2,metabric,0.7,0.9211458333333334,
177,cox_ph_alg_2,metabric,0.7,0.896875,
178,cox_ph_alg_2,metabric,0.7,0.9282291666666667,
179,cox_ph_alg_2,metabric,0.7,0.8894791666666667,
180,cox_cc_alg_1,metabric,0.7,0.9162500000000001,282.3772395833333
181,cox_cc_alg_1,metabric,0.7,0.8160416666666666,253.13809952163697
182,cox_cc_alg_1,metabric,0.7,0.8598958333333334,273.56168277867636
183,cox_cc_alg_1,metabric,0.7,0.9233333333333333,272.01146473566695
184,cox_cc_alg_1,metabric,0.7,0.8248958333333333,256.72158919143675
185,cox_cc_alg_1,metabric,0.7,0.855,269.7555729166666
186,cox_cc_alg_1,metabric,0.7,0.8848958333333332,272.19866276168824
187,cox_cc_alg_1,metabric,0.7,0.7519791666666666,230.4868333333333
188,cox_cc_alg_1,metabric,0.7,0.8652083333333334,266.8847872543335
189,cox_cc_alg_1,metabric,0.7,0.8418749999999999,265.5312357851664
190,cox_cc_alg_2,metabric,0.7,0.9431250000000001,298.6610175318718
191,cox_cc_alg_2,metabric,0.7,0.8686458333333333,268.23810032031935
192,cox_cc_alg_2,metabric,0.7,0.9316666666666666,298.4046067070166
193,cox_cc_alg_2,metabric,0.7,0.9331250000000001,278.59262117399277
194,cox_cc_alg_2,metabric,0.7,0.9171874999999999,284.68118760009605
195,cox_cc_alg_2,metabric,0.7,0.9421875000000001,301.5454202311436
196,cox_cc_alg_2,metabric,0.7,0.9123958333333334,291.4125695807934
197,cox_cc_alg_2,metabric,0.7,0.84125,265.3315921978355
198,cox_cc_alg_2,metabric,0.7,0.9303125,301.204870843937
199,cox_cc_alg_2,metabric,0.7,0.855,270.6837571146091
200,cox_ph_alg_1,support,0.7,0.914,1783.533
201,cox_ph_alg_1,support,0.7,0.9269,1771.02083
202,cox_ph_alg_1,support,0.7,0.8674,1655.96106
203,cox_ph_alg_1,support,0.7,0.9193000000000001,1761.2668899999999
204,cox_ph_alg_1,support,0.7,0.9506999999999999,1799.70775
205,cox_ph_alg_1,support,0.7,0.8486000000000001,1598.02456
